P [bar]    mc [ mol/kg]    xw_C   rho_W [kg/m3]   rho_C [kg/m3]    Z_W    Z_C    eps_r    chiw_W    chiw_C    Ndchi1w/dNw    Ndchi1w/dNc   Vdchi1w/dV
1.00   0.0225   0.073518   993.86   1.62    0.000696   0.995622   72.7360    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.02   0.0229   0.072390   993.87   1.65    0.000707   0.995566   72.7349    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.03   0.0233   0.071296   993.87   1.68    0.000718   0.995511   72.7338    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.09   0.0248   0.067234   993.88   1.78    0.000762   0.995285   72.7295    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.11   0.0252   0.066290   993.89   1.81    0.000773   0.995229   72.7285    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.12   0.0256   0.065372   993.89   1.84    0.000783   0.995172   72.7274    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.16   0.0263   0.063609   993.90   1.89    0.000805   0.995057   72.7252    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.19   0.0271   0.061940   993.90   1.94    0.000827   0.994942   72.7231    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.31   0.0301   0.056059   993.93   2.16    0.000914   0.994476   72.7145    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.34   0.0309   0.054760   993.93   2.21    0.000936   0.994358   72.7124    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.38   0.0316   0.053519   993.94   2.26    0.000958   0.994240   72.7102    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.41   0.0324   0.052334   993.95   2.32    0.000979   0.994121   72.7081    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.44   0.0331   0.051200   993.95   2.37    0.001001   0.994002   72.7059    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.47   0.0339   0.050115   993.96   2.42    0.001023   0.993883   72.7038    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.50   0.0346   0.049074   993.97   2.48    0.001045   0.993763   72.7017    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.53   0.0354   0.048076   993.97   2.53    0.001067   0.993643   72.6995    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.56   0.0362   0.047118   993.98   2.59    0.001088   0.993523   72.6974    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.59   0.0369   0.046199   993.99   2.64    0.001110   0.993403   72.6952    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.63   0.0377   0.045313   993.99   2.69    0.001132   0.993282   72.6931    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.66   0.0384   0.044461   994.00   2.75    0.001154   0.993161   72.6910    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.72   0.0399   0.042851   994.01   2.85    0.001197   0.992918   72.6867    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.75   0.0407   0.042089   994.02   2.91    0.001219   0.992797   72.6845    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.78   0.0414   0.041353   994.02   2.96    0.001241   0.992675   72.6824    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.81   0.0422   0.040643   994.03   3.01    0.001263   0.992553   72.6803    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.84   0.0430   0.039958   994.04   3.07    0.001284   0.992431   72.6781    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.88   0.0437   0.039294   994.04   3.12    0.001306   0.992308   72.6760    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.91   0.0445   0.038653   994.05   3.17    0.001328   0.992186   72.6739    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.94   0.0452   0.038032   994.06   3.23    0.001350   0.992063   72.6717    0.0919   0.9966    -0.0706   -0.0503   0.0706
1.97   0.0460   0.037431   994.06   3.28    0.001372   0.991940   72.6696    0.0919   0.9966    -0.0706   -0.0503   0.0706
2.00   0.0467   0.036849   994.07   3.34    0.001393   0.991817   72.6675    0.0919   0.9966    -0.0706   -0.0503   0.0706
2.03   0.0475   0.036285   994.08   3.39    0.001415   0.991694   72.6653    0.0919   0.9966    -0.0706   -0.0503   0.0706
2.06   0.0482   0.035738   994.08   3.44    0.001437   0.991570   72.6632    0.0919   0.9966    -0.0706   -0.0503   0.0706
